year,iso_o,R_i 
2017,Alabama,5980595
2017,Alaska,70459
2017,Arizona,3852008
2017,Arkansas,9651160
2017,California,45154359
2017,Colorado,7491702
2017,Connecticut,580114
2017,Delaware,1465973
2017,Florida,7357343
2017,Georgia,9573252
2017,Hawaii,563803
2017,Idaho,7567439
2017,Illinois,17009971
2017,Indiana,11107336
2017,Iowa,28956455
2017,Kansas,18782726
2017,Kentucky,5737920
2017,Louisiana,3172978
2017,Maine,666962
2017,Maryland,2472805
2017,Massachusetts,475184
2017,Michigan,8220935
2017,Minnesota,18395390
2017,Mississippi,6195968
2017,Missouri,10525938
2017,Montana,3520623
2017,Nebraska,21983430
2017,Nevada,665758
2017,NewHampshire,187794
2017,NewJersey,1097950
2017,NewMexico,2582343
2017,NewYork,5369212
2017,NorthCarolina,12900674
2017,NorthDakota,8234102
2017,Ohio,9341225
2017,Oklahoma,7465512
2017,Oregon,5006822
2017,Pennsylvania,7758884
2017,RhodeIsland,57998
2017,SouthCarolina,3008739
2017,SouthDakota,9721522
2017,Tennessee,3798934
2017,Texas,24924041
2017,Utah,1838610
2017,Vermont,780968
2017,Virginia,3960501
2017,Washington,9634461
2017,WestVirginia,754279
2017,Wisconsin,11427423
2017,Wyoming,1472113
