iso_o,year,fish_prod
Alabama,2015,42246
Alaska,2015,1763425
Arizona,2015,
Arkansas,2015,
California,2015,143087
Colorado,2015,
Connecticut,2015,15789
Delaware,2015,6746
Florida,2015,244162
Georgia,2015,17076
Hawaii,2015,103399
Idaho,2015,
Illinois,2015,
Indiana,2015,
Iowa,2015,
Kansas,2015,
Kentucky,2015,
Louisiana,2015,339816
Maine,2015,588261
Maryland,2015,90581
Massachusetts,2015,524915
Michigan,2015,9837
Minnesota,2015,238
Mississippi,2015,69005
Missouri,2015,
Montana,2015,
Nebraska,2015,
Nevada,2015,
NewHampshire,2015,27788
NewJersey,2015,165962
NewMexico,2015,
NewYork,2015,48813
NorthCarolina,2015,119217
NorthDakota,2015,
Ohio,2015,4981
Oklahoma,2015,
Oregon,2015,115735
Pennsylvania,2015,125
RhodeIsland,2015,81835
SouthCarolina,2015,24528
SouthDakota,2015,
Tennessee,2015,
Texas,2015,174834
Utah,2015,
Vermont,2015,
Virginia,2015,199460
Washington,2015,274116
WestVirginia,2015,
Wisconsin,2015,3844
Wyoming,2015,
Alabama,2016,50797
Alaska,2016,1550840
Arizona,2016,
Arkansas,2016,
California,2016,216139
Colorado,2016,
Connecticut,2016,15086
Delaware,2016,10097
Florida,2016,248704
Georgia,2016,11886
Hawaii,2016,118134
Idaho,2016,
Illinois,2016,
Indiana,2016,
Iowa,2016,
Kansas,2016,
Kentucky,2016,
Louisiana,2016,407222
Maine,2016,633675
Maryland,2016,94644
Massachusetts,2016,552175
Michigan,2016,8146
Minnesota,2016,214
Mississippi,2016,29405
Missouri,2016,
Montana,2016,
Nebraska,2016,
Nevada,2016,
NewHampshire,2016,33480
NewJersey,2016,193013
NewMexico,2016,
NewYork,2016,47918
NorthCarolina,2016,94386
NorthDakota,2016,
Ohio,2016,4983
Oklahoma,2016,
Oregon,2016,151711
Pennsylvania,2016,231
RhodeIsland,2016,93869
SouthCarolina,2016,24645
SouthDakota,2016,
Tennessee,2016,
Texas,2016,190628
Utah,2016,
Vermont,2016,
Virginia,2016,203201
Washington,2016,321072
WestVirginia,2016,
Wisconsin,2016,3014
Wyoming,2016,
Alabama,2017,64532
Alaska,2017,1764462
Arizona,2017,
Arkansas,2017,
California,2017,209846
Colorado,2017,
Connecticut,2017,13717
Delaware,2017,9140
Florida,2017,266175
Georgia,2017,16834
Hawaii,2017,116368
Idaho,2017,
Illinois,2017,
Indiana,2017,
Iowa,2017,
Kansas,2017,
Kentucky,2017,
Louisiana,2017,354301
Maine,2017,511315
Maryland,2017,77403
Massachusetts,2017,605250
Michigan,2017,8302
Minnesota,2017,219
Mississippi,2017,30425
Missouri,2017,
Montana,2017,
Nebraska,2017,
Nevada,2017,
NewHampshire,2017,35011
NewJersey,2017,190549
NewMexico,2017,
NewYork,2017,47947
NorthCarolina,2017,97306
NorthDakota,2017,
Ohio,2017,5729
Oklahoma,2017,
Oregon,2017,147058
Pennsylvania,2017,215
RhodeIsland,2017,100768
SouthCarolina,2017,25495
SouthDakota,2017,
Tennessee,2017,
Texas,2017,223973
Utah,2017,
Vermont,2017,
Virginia,2017,183203
Washington,2017,313747
WestVirginia,2017,
Wisconsin,2017,3071
Wyoming,2017,
Alabama,2018,67732
Alaska,2018,1781999
Arizona,2018,
Arkansas,2018,
California,2018,197583
Colorado,2018,
Connecticut,2018,16225
Delaware,2018,10535
Florida,2018,249448
Georgia,2018,16438
Hawaii,2018,119116
Idaho,2018,
Illinois,2018,
Indiana,2018,
Iowa,2018,
Kansas,2018,
Kentucky,2018,
Louisiana,2018,377127
Maine,2018,587381
Maryland,2018,68410
Massachusetts,2018,647179
Michigan,2018,8012
Minnesota,2018,229
Mississippi,2018,45575
Missouri,2018,
Montana,2018,
Nebraska,2018,
Nevada,2018,
NewHampshire,2018,38431
NewJersey,2018,170261
NewMexico,2018,
NewYork,2018,47083
NorthCarolina,2018,78349
NorthDakota,2018,
Ohio,2018,3772
Oklahoma,2018,
Oregon,2018,174287
Pennsylvania,2018,251
RhodeIsland,2018,105149
SouthCarolina,2018,21380
SouthDakota,2018,
Tennessee,2018,
Texas,2018,210616
Utah,2018,
Vermont,2018,
Virginia,2018,177039
Washington,2018,346440
WestVirginia,2018,
Wisconsin,2018,2868
Wyoming,2018,
