description,code,final_sector
"Crop and animal production, hunting and related service activities",A01,14
Forestry and logging,A02,14
Fishing and aquaculture,A03,14
Mining and quarrying,B,4
"Manufacture of food products, beverages and tobacco products",C10-C12,1
"Manufacture of textiles, wearing apparel and leather products",C13-C15,2
"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",C16,3
Manufacture of paper and paper products,C17,3
Printing and reproduction of recorded media,C18,3
Manufacture of coke and refined petroleum products,C19,4
Manufacture of chemicals and chemical products,C20,5
Manufacture of basic pharmaceutical products and pharmaceutical preparations,C21,5
Manufacture of rubber and plastic products,C22,6
Manufacture of other non-metallic mineral products,C23,7
Manufacture of basic metals,C24,8
"Manufacture of fabricated metal products, except machinery and equipment",C25,8
"Manufacture of computer, electronic and optical products",C26,10
Manufacture of electrical equipment,C27,10
Manufacture of machinery and equipment n.e.c.,C28,9
"Manufacture of motor vehicles, trailers and semi-trailers",C29,11
Manufacture of other transport equipment,C30,11
Manufacture of furniture; other manufacturing,C31_C32,12
Repair and installation of machinery and equipment,C33,13
"Electricity, gas, steam and air conditioning supply",D35,
"Water collection, treatment and supply",E36,
"Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services",E37-E39,13
Construction,F,13
Wholesale and retail trade and repair of motor vehicles and motorcycles,G45,13
"Wholesale trade, except of motor vehicles and motorcycles",G46,13
"Retail trade, except of motor vehicles and motorcycles",G47,13
Land transport and transport via pipelines,H49,13
Water transport,H50,13
Air transport,H51,13
Warehousing and support activities for transportation,H52,13
Postal and courier activities,H53,13
Accommodation and food service activities,I,13
Publishing activities,J58,13
"Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities",J59_J60,13
Telecommunications,J61,13
"Computer programming, consultancy and related activities; information service activities",J62_J63,13
"Financial service activities, except insurance and pension funding",K64,13
"Insurance, reinsurance and pension funding, except compulsory social security",K65,13
Activities auxiliary to financial services and insurance activities,K66,13
Real estate activities,L68,13
Legal and accounting activities; activities of head offices; management consultancy activities,M69_M70,13
Architectural and engineering activities; technical testing and analysis,M71,13
Scientific research and development,M72,13
Advertising and market research,M73,13
"Other professional, scientific and technical activities; veterinary activities",M74_M75,13
Administrative and support service activities,N,13
Public administration and defence; compulsory social security,O84,
Education,P85,13
Human health and social work activities,Q,13
Other service activities,R_S,13
Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,T,13
Activities of extraterritorial organizations and bodies,U,
